epoch,shortterm,midterm,longterm
1708324162.051,0.145996,0.105957,0.040039
1708324163.051,0.145996,0.105957,0.040039
1708324164.051,0.145996,0.105957,0.040039
1708324165.052,0.134277,0.104004,0.039551
1708324166.051,0.134277,0.104004,0.039551
1708324167.051,0.134277,0.104004,0.039551
1708324168.052,0.134277,0.104004,0.039551
1708324169.052,0.134277,0.104004,0.039551
1708324170.053,0.123047,0.102051,0.039062
1708324171.051,0.123047,0.102051,0.039062
1708324172.052,0.123047,0.102051,0.039062
1708324173.051,0.123047,0.102051,0.039062
1708324174.054,0.123047,0.102051,0.039062
1708324175.052,0.112793,0.100098,0.038574
1708324176.051,0.112793,0.100098,0.038574
1708324177.051,0.112793,0.100098,0.038574
1708324178.051,0.112793,0.100098,0.038574
1708324179.051,0.112793,0.100098,0.038574
1708324180.051,0.103516,0.098145,0.038086
1708324181.052,0.103516,0.098145,0.038086
1708324182.051,0.103516,0.098145,0.038086
1708324183.051,0.103516,0.098145,0.038086
1708324184.051,0.103516,0.098145,0.038086
1708324185.053,0.095215,0.096191,0.037598
1708324186.052,0.095215,0.096191,0.037598
1708324187.052,0.095215,0.096191,0.037598
1708324188.052,0.095215,0.096191,0.037598
1708324189.053,0.095215,0.096191,0.037598
1708324190.053,0.087402,0.094238,0.037109
1708324191.052,0.087402,0.094238,0.037109
1708324192.051,0.087402,0.094238,0.037109
1708324193.052,0.087402,0.094238,0.037109
1708324194.052,0.087402,0.094238,0.037109
1708324195.052,0.080078,0.092285,0.036621
1708324196.052,0.080078,0.092285,0.036621
1708324197.051,0.080078,0.092285,0.036621
1708324198.051,0.080078,0.092285,0.036621
1708324199.052,0.080078,0.092285,0.036621
1708324200.051,0.073242,0.090332,0.036133
1708324201.051,0.073242,0.090332,0.036133
1708324202.052,0.073242,0.090332,0.036133
1708324203.053,0.073242,0.090332,0.036133
1708324204.052,0.073242,0.090332,0.036133
1708324205.051,0.066895,0.088379,0.035645
1708324206.052,0.066895,0.088379,0.035645
1708324207.053,0.066895,0.088379,0.035645
1708324208.051,0.066895,0.088379,0.035645
1708324209.051,0.066895,0.088379,0.035645
1708324210.053,0.061523,0.086426,0.035156
1708324211.052,0.061523,0.086426,0.035156
1708324212.053,0.061523,0.086426,0.035156
1708324213.052,0.061523,0.086426,0.035156
1708324214.051,0.061523,0.086426,0.035156
1708324215.053,0.056152,0.084961,0.034668
1708324216.053,0.056152,0.084961,0.034668
1708324217.053,0.056152,0.084961,0.034668
1708324218.052,0.056152,0.084961,0.034668
1708324219.052,0.056152,0.084961,0.034668
1708324220.052,0.051270,0.083496,0.034180
1708324221.052,0.051270,0.083496,0.034180
1708324222.051,0.051270,0.083496,0.034180
1708324223.052,0.051270,0.083496,0.034180
1708324224.053,0.051270,0.083496,0.034180
1708324225.052,0.046875,0.082031,0.033691
1708324226.052,0.046875,0.082031,0.033691
1708324227.053,0.046875,0.082031,0.033691
1708324228.051,0.046875,0.082031,0.033691
1708324229.052,0.046875,0.082031,0.033691
1708324230.051,0.042969,0.080566,0.033203
1708324231.052,0.042969,0.080566,0.033203
1708324232.052,0.042969,0.080566,0.033203
1708324233.051,0.042969,0.080566,0.033203
1708324234.052,0.042969,0.080566,0.033203
1708324235.052,0.039062,0.079102,0.032715
1708324236.052,0.039062,0.079102,0.032715
1708324237.052,0.039062,0.079102,0.032715
1708324238.052,0.039062,0.079102,0.032715
1708324239.052,0.039062,0.079102,0.032715
1708324240.052,0.035645,0.077637,0.032227
